onset	duration	genre	track	start	end
0	15	'metal'	97	9.98	24.98
15	15	'hiphop'	20	10.03	25.03
30	15	'classical'	43	11.15	26.15
45	15	'reggae'	22	0.97	15.97
60	15	'country'	74	1.03	16.03
75	15	'jazz'	47	10	25
90	15	'metal'	88	3.8	18.8
105	15	'disco'	99	11.72	26.72
120	15	'blues'	41	11.4	26.4
135	15	'rock'	14	6.75	21.75
150	15	'pop'	94	13.74	28.74
165	15	'jazz'	3	10.14	25.14
180	15	'pop'	31	9.77	24.77
195	15	'hiphop'	28	2.63	17.63
210	15	'metal'	25	12.41	27.41
225	15	'blues'	46	6.62	21.62
240	15	'reggae'	40	8.39	23.39
255	15	'classical'	60	0.98	15.98
270	15	'country'	44	5.14	20.14
285	15	'rock'	57	4.23	19.23
300	15	'disco'	84	7.3	22.3
315	15	'hiphop'	46	9.65	24.65
330	15	'metal'	75	12.21	27.21
345	15	'disco'	37	11.19	26.19
360	15	'classical'	24	4.08	19.08
375	15	'rock'	19	13.61	28.61
390	15	'country'	29	4.66	19.66
405	15	'jazz'	70	8.92	23.92
420	15	'pop'	35	11.97	26.97
435	15	'reggae'	44	13.02	28.02
450	15	'blues'	28	6.13	21.13
465	15	'country'	52	8.89	23.89
480	15	'hiphop'	8	6.21	21.21
495	15	'classical'	31	7.81	22.81
510	15	'metal'	27	9.31	24.31
525	15	'rock'	1	2.36	17.36
540	15	'pop'	97	11.48	26.48
555	15	'jazz'	6	10.24	25.24
570	15	'disco'	7	6.91	21.91
585	15	'blues'	49	7.52	22.52
600	15	'reggae'	73	13.86	28.86
