onset	duration	genre	track	start	end
0	15	'reggae'	73	13.86	28.86
15	15	'country'	40	9.5	24.5
30	15	'classical'	15	6.04	21.04
45	15	'rock'	81	11.53	26.53
60	15	'hiphop'	43	13.75	28.75
75	15	'reggae'	46	14.72	29.72
90	15	'disco'	48	4.45	19.45
105	15	'jazz'	17	6.63	21.63
120	15	'metal'	18	6.13	21.13
135	15	'blues'	62	12.37	27.37
150	15	'pop'	4	1.29	16.29
165	15	'rock'	91	9.12	24.12
180	15	'jazz'	60	14.78	29.78
195	15	'classical'	72	5.86	20.86
210	15	'hiphop'	3	10.1	25.1
225	15	'metal'	74	13.26	28.26
240	15	'country'	8	9.58	24.58
255	15	'disco'	32	14	29
270	15	'reggae'	45	4.04	19.04
285	15	'blues'	5	0.95	15.95
300	15	'pop'	2	1.3	16.3
315	15	'classical'	74	1.3	16.3
330	15	'reggae'	76	6.55	21.55
345	15	'jazz'	68	5.05	20.05
360	15	'metal'	93	13.44	28.44
375	15	'blues'	72	7.55	22.55
390	15	'rock'	12	10.59	25.59
405	15	'hiphop'	33	13.43	28.43
420	15	'pop'	76	2.27	17.27
435	15	'disco'	93	0.1	15.1
450	15	'country'	70	0.1	15.1
465	15	'classical'	70	1.5	16.5
480	15	'country'	34	0.75	15.75
495	15	'pop'	54	5.65	20.65
510	15	'metal'	55	0.35	15.35
525	15	'blues'	22	8.08	23.08
540	15	'rock'	94	11.1	26.1
555	15	'reggae'	80	9.39	24.39
570	15	'hiphop'	50	10.97	25.97
585	15	'disco'	6	11.34	26.34
600	15	'jazz'	34	1.13	16.13
