onset	duration	genre	track	start	end
0	15	'jazz'	34	1.13	16.13
15	15	'pop'	16	1.53	16.53
30	15	'jazz'	4	3.3	18.3
45	15	'country'	17	3.62	18.62
60	15	'classical'	38	5.15	20.15
75	15	'hiphop'	2	11.64	26.64
90	15	'disco'	12	9.12	24.12
105	15	'reggae'	18	4.08	19.08
120	15	'metal'	94	8.15	23.15
135	15	'rock'	62	13.95	28.95
150	15	'blues'	92	5.9	20.9
165	15	'metal'	91	2.39	17.39
180	15	'hiphop'	94	4.63	19.63
195	15	'rock'	5	11.72	26.72
210	15	'country'	10	13.02	28.02
225	15	'pop'	23	5.62	20.62
240	15	'disco'	63	0.11	15.11
255	15	'classical'	76	9.92	24.92
270	15	'reggae'	90	5.19	20.19
285	15	'blues'	33	8.17	23.17
300	15	'jazz'	63	0.94	15.94
315	15	'pop'	48	4.62	19.62
330	15	'reggae'	27	9.86	24.86
345	15	'classical'	91	2.18	17.18
360	15	'jazz'	83	11.45	26.45
375	15	'rock'	51	6.12	21.12
390	15	'hiphop'	6	7.53	22.53
405	15	'blues'	80	4.27	19.27
420	15	'disco'	31	3.72	18.72
435	15	'metal'	15	9.43	24.43
450	15	'country'	73	9.44	24.44
465	15	'reggae'	42	14.99	29.99
480	15	'jazz'	99	4.02	19.02
495	15	'disco'	74	3.28	18.28
510	15	'rock'	35	2.64	17.64
525	15	'metal'	40	2.05	17.05
540	15	'blues'	31	12.13	27.13
555	15	'classical'	67	10.98	25.98
570	15	'hiphop'	80	3.67	18.67
585	15	'pop'	1	2.63	17.63
600	15	'country'	62	1.2	16.2
