onset	duration	genre	track	start	end
0	15	'reggae'	88	7.42	22.42
15	15	'disco'	45	4.99	19.99
30	15	'hiphop'	86	10.61	25.61
45	15	'rock'	29	9.29	24.29
60	15	'jazz'	42	10.05	25.05
75	15	'country'	9	7.75	22.75
90	15	'reggae'	28	1.91	16.91
105	15	'metal'	69	7.35	22.35
120	15	'pop'	44	3.51	18.51
135	15	'classical'	11	9.98	24.98
150	15	'blues'	14	9.59	24.59
165	15	'jazz'	41	2.83	17.83
180	15	'hiphop'	45	8.55	23.55
195	15	'reggae'	35	3.23	18.23
210	15	'country'	95	4.6	19.6
225	15	'metal'	44	3.21	18.21
240	15	'rock'	92	0.52	15.52
255	15	'classical'	40	7.98	22.98
270	15	'disco'	27	9.73	24.73
285	15	'blues'	52	14.71	29.71
300	15	'pop'	56	1.83	16.83
315	15	'blues'	90	6.13	21.13
330	15	'country'	16	5.82	20.82
345	15	'jazz'	82	0.35	15.35
360	15	'classical'	17	7.39	22.39
375	15	'reggae'	48	6.08	21.08
390	15	'hiphop'	61	3.54	18.54
405	15	'pop'	39	11.88	26.88
420	15	'metal'	47	0.58	15.58
435	15	'rock'	52	1.64	16.64
450	15	'disco'	13	5.4	20.4
465	15	'pop'	51	11.72	26.72
480	15	'blues'	20	8.77	23.77
495	15	'hiphop'	68	6.55	21.55
510	15	'reggae'	60	6.02	21.02
525	15	'country'	80	4.85	19.85
540	15	'rock'	71	11.81	26.81
555	15	'disco'	62	13.42	28.42
570	15	classical'	37	1.96	16.96
585	15	jazz'	58	4.73	19.73
600	15	metal'	97	9.98	24.98
