onset	duration	genre	track	start	end
0	15	'classical'	85	7.73	22.73
15	15	'metal'	85	8.78	23.78
30	15	'rock'	84	10.82	25.82
45	15	'country'	21	9.06	24.06
60	15	'jazz'	46	7.74	22.74
75	15	'classical'	48	11.88	26.88
90	15	'reggae'	52	9.21	24.21
105	15	'hiphop'	75	7.65	22.65
120	15	'disco'	25	10.82	25.82
135	15	'blues'	78	4.54	19.54
150	15	'pop'	14	5.88	20.88
165	15	'country'	24	3.51	18.51
180	15	'disco'	59	8.63	23.63
195	15	'hiphop'	98	8.31	23.31
210	15	'blues'	23	2.2	17.2
225	15	'rock'	6	9.45	24.45
240	15	'jazz'	15	0.21	15.21
255	15	'classical'	88	14.76	29.76
270	15	'reggae'	5	14.43	29.43
285	15	'pop'	61	0.59	15.59
300	15	'metal'	6	5.56	20.56
315	15	'pop'	77	9.9	24.9
330	15	'rock'	90	2.17	17.17
345	15	'reggae'	15	13.38	28.38
360	15	'country'	71	2.65	17.65
375	15	'blues'	65	5.51	20.51
390	15	'metal'	90	12.32	27.32
405	15	'classical'	29	13.11	28.11
420	15	'disco'	92	9.17	24.17
435	15	'jazz'	95	4.51	19.51
450	15	'hiphop'	84	5.89	20.89
465	15	'reggae'	39	6.46	21.46
480	15	'country'	84	5.87	20.87
495	15	'disco'	29	12.14	27.14
510	15	'blues'	66	0.74	15.74
525	15	'rock'	98	13.7	28.7
540	15	'pop'	93	3.66	18.66
555	15	'metal'	98	0.05	15.05
570	15	'jazz'	43	10.81	25.81
585	15	'hiphop'	92	2.92	17.92
600	15	'classical'	52	12.03	27.03
