onset	duration	genre	track	start	end
0	15	'disco'	9	4.21	19.21
15	15	'blues'	98	6.46	21.46
30	15	'hiphop'	53	0.4	15.4
45	15	'pop'	29	3.56	18.56
60	15	'jazz'	9	7.44	22.44
75	15	'classical'	39	7.28	22.28
90	15	'disco'	43	1.81	16.81
105	15	'country'	54	0.5	15.5
120	15	'metal'	92	10	25
135	15	'reggae'	4	4.86	19.86
150	15	'rock'	2	8.88	23.88
165	15	'blues'	36	7.17	22.17
180	15	'jazz'	18	6.69	21.69
195	15	'rock'	54	6.09	21.09
210	15	'classical'	95	6.46	21.46
225	15	'reggae'	68	14.27	29.27
240	15	'country'	39	12.05	27.05
255	15	'hiphop'	10	8.38	23.38
270	15	'pop'	43	10.53	25.53
285	15	'metal'	57	13.73	28.73
300	15	'disco'	81	4.5	19.5
315	15	'blues'	85	12.14	27.14
330	15	'rock'	43	8.49	23.49
345	15	'classical'	23	5.81	20.81
360	15	'disco'	91	14.06	29.06
375	15	'hiphop'	66	4.11	19.11
390	15	'reggae'	55	13.83	28.83
405	15	'pop'	92	11.62	26.62
420	15	'metal'	38	10.53	25.53
435	15	'jazz'	77	14.24	29.24
450	15	'country'	36	14.06	29.06
465	15	'jazz'	16	7.88	22.88
480	15	'reggae'	26	9.56	24.56
495	15	'disco'	66	14.95	29.95
510	15	'pop'	17	5.53	20.53
525	15	'rock'	37	4.18	19.18
540	15	'blues'	77	13.95	28.95
555	15	'classical'	84	6.49	21.49
570	15	'country'	67	14.77	29.77
585	15	'hiphop'	72	12.19	27.19
600	15	'metal'	78	1.74	16.74
