onset	duration	genre	track	start	end
0	15	'pop'	37	14.42	29.42
15	15	'metal'	82	0.4	15.4
30	15	'pop'	72	6.71	21.71
45	15	'jazz'	27	9.6	24.6
60	15	'rock'	97	11.89	26.89
75	15	'country'	30	6.92	21.92
90	15	'disco'	85	8.94	23.94
105	15	'reggae'	19	12.71	27.71
120	15	'classical'	49	0.99	15.99
135	15	'blues'	76	14.18	29.18
150	15	'hiphop'	58	9.97	24.97
165	15	'pop'	65	2.48	17.48
180	15	'classical'	66	6.92	21.92
195	15	'metal'	23	12.1	27.1
210	15	'reggae'	7	12.24	27.24
225	15	'country'	45	11.41	26.41
240	15	'rock'	60	4.85	19.85
255	15	'disco'	14	4.99	19.99
270	15	'blues'	0	11.42	26.42
285	15	'jazz'	22	3.84	18.84
300	15	'hiphop'	76	2.86	17.86
315	15	'metal'	49	7.43	22.43
330	15	'blues'	68	6.69	21.69
345	15	'rock'	39	2.37	17.37
360	15	'hiphop'	30	14.3	29.3
375	15	'pop'	5	3.2	18.2
390	15	'classical'	16	11.66	26.66
405	15	'reggae'	8	5.13	20.13
420	15	'country'	50	4.53	19.53
435	15	'disco'	86	8.24	23.24
450	15	'jazz'	75	4.59	19.59
465	15	'hiphop'	31	8.28	23.28
480	15	'jazz'	64	12.51	27.51
495	15	'classical'	34	14.46	29.46
510	15	'pop'	15	6.69	21.69
525	15	'blues'	11	12.95	27.95
540	15	'rock'	36	8.3	23.3
555	15	'metal'	7	1.29	16.29
570	15	'disco'	49	7.61	22.61
585	15	'country'	18	7.86	22.86
600	15	'reggae'	88	7.42	22.42
