onset	duration	genre	track	start	end
0	15	'country'	62	1.2	16.2
15	15	'reggae'	59	12.7	27.7
30	15	'metal'	54	8.73	23.73
45	15	'country'	53	14.89	29.89
60	15	'pop'	8	10.2	25.2
75	15	'rock'	40	10.89	25.89
90	15	'hiphop'	70	2.84	17.84
105	15	'disco'	98	5.98	20.98
120	15	'blues'	89	7.3	22.3
135	15	'jazz'	26	0.78	15.78
150	15	'classical'	30	9.71	24.71
165	15	'disco'	52	5.18	20.18
180	15	'classical'	97	9.47	24.47
195	15	'country'	90	14.83	29.83
210	15	'blues'	96	5.31	20.31
225	15	'rock'	72	6.57	21.57
240	15	'jazz'	33	8.57	23.57
255	15	'pop'	82	10.3	25.3
270	15	'hiphop'	74	6.18	21.18
285	15	'reggae'	30	10.33	25.33
300	15	'metal'	31	7.48	22.48
315	15	'jazz'	61	3.58	18.58
330	15	'blues'	53	7.97	22.97
345	15	'reggae'	43	2.42	17.42
360	15	'hiphop'	59	14.08	29.08
375	15	'metal'	62	3.78	18.78
390	15	'disco'	96	9.4	24.4
405	15	'pop'	87	7.03	22.03
420	15	'country'	41	1.34	16.34
435	15	'classical'	44	5.46	20.46
450	15	'rock'	13	9.3	24.3
465	15	'jazz'	12	10.35	25.35
480	15	'disco'	30	11.04	26.04
495	15	'rock'	88	9.08	24.08
510	15	'country'	28	1.34	16.34
525	15	'classical'	3	1.1	16.1
540	15	'metal'	72	1.48	16.48
555	15	'pop'	55	12.11	27.11
570	15	'reggae'	31	13.67	28.67
585	15	'hiphop'	78	7.27	22.27
600	15	'blues'	79	14.9	29.9
