onset	duration	genre	track	start	end
0	15	'classical'	52	12.03	27.03
15	15	'blues'	26	6.6	21.6
30	15	'classical'	86	1.7	16.7
45	15	'rock'	33	12.66	27.66
60	15	'disco'	28	12.06	27.06
75	15	'reggae'	37	12.42	27.42
90	15	'country'	82	7.73	22.73
105	15	'jazz'	73	13.72	28.72
120	15	'hiphop'	90	13.68	28.68
135	15	'pop'	34	4.13	19.13
150	15	'metal'	80	9.15	24.15
165	15	'classical'	6	5.41	20.41
180	15	'pop'	59	12.42	27.42
195	15	'country'	27	9.96	24.96
210	15	'disco'	69	7.72	22.72
225	15	'hiphop'	41	3.24	18.24
240	15	'metal'	46	11.8	26.8
255	15	'reggae'	89	10.14	25.14
270	15	'blues'	38	2.3	17.3
285	15	'rock'	93	8.85	23.85
300	15	'jazz'	37	5.7	20.7
315	15	'blues'	10	3.96	18.96
330	15	'country'	83	14.31	29.31
345	15	'metal'	29	1.53	16.53
360	15	'jazz'	85	11.71	26.71
375	15	'rock'	70	5.03	20.03
390	15	'hiphop'	69	10.77	25.77
405	15	'pop'	22	0.98	15.98
420	15	'disco'	5	8.72	23.72
435	15	'reggae'	16	8.16	23.16
450	15	'classical'	10	5.12	20.12
465	15	'country'	42	12.27	27.27
480	15	'classical'	89	3.52	18.52
495	15	'metal'	36	13.32	28.32
510	15	'jazz'	51	5.28	20.28
525	15	'blues'	6	12.81	27.81
540	15	'hiphop'	87	6.17	21.17
555	15	'rock'	28	6.07	21.07
570	15	'pop'	36	8.4	23.4
585	15	'disco'	34	1.23	16.23
600	15	'reggae'	24	9.52	24.52
