onset	duration	genre	track	start	end
0	15	'blues'	79	14.9	29.9
15	15	'jazz'	94	4.24	19.24
30	15	'blues'	95	6.24	21.24
45	15	'country'	35	13.5	28.5
60	15	'reggae'	53	14.29	29.29
75	15	'hiphop'	64	7.73	22.73
90	15	'disco'	35	6.03	21.03
105	15	'rock'	86	10.69	25.69
120	15	'classical'	12	9.45	24.45
135	15	'metal'	81	10.46	25.46
150	15	'pop'	21	8.82	23.82
165	15	'blues'	42	3.13	18.13
180	15	'rock'	30	3.14	18.14
195	15	'disco'	80	6.9	21.9
210	15	'metal'	50	4.54	19.54
225	15	'pop'	41	13.1	28.1
240	15	'jazz'	50	5.18	20.18
255	15	'reggae'	83	5.74	20.74
270	15	'hiphop'	82	11.74	26.74
285	15	'classical'	47	6	21
300	15	'country'	89	2.47	17.47
315	15	'hiphop'	26	1.63	16.63
330	15	'disco'	79	7.92	22.92
345	15	'jazz'	52	8.77	23.77
360	15	'reggae'	29	3.27	18.27
375	15	'blues'	2	13.84	28.84
390	15	'rock'	10	8.28	23.28
405	15	'pop'	42	0.93	15.93
420	15	'country'	79	15	30
435	15	'classical'	59	12.97	27.97
450	15	'metal'	99	14.24	29.24
465	15	'blues'	48	4.75	19.75
480	15	'jazz'	89	2.07	17.07
495	15	'rock'	49	4.87	19.87
510	15	'country'	99	13.31	28.31
525	15	'reggae'	9	5.1	20.1
540	15	'disco'	46	1.61	16.61
555	15	'metal'	37	11.32	26.32
570	15	'pop'	70	10.22	25.22
585	15	'hiphop'	36	11.8	26.8
600	15	'classical'	85	7.73	22.73
