onset	duration	genre	track	start	end
0	15	'metal'	78	1.74	16.74
15	15	'rock'	65	0.53	15.53
30	15	'metal'	10	8.3	23.3
45	15	'disco'	53	10.14	25.14
60	15	'jazz'	55	12.04	27.04
75	15	'country'	81	13.7	28.7
90	15	'reggae'	62	14.38	29.38
105	15	'hiphop'	56	6.68	21.68
120	15	'pop'	52	5.41	20.41
135	15	'classical'	33	0.71	15.71
150	15	'blues'	74	13.08	28.08
165	15	'rock'	53	0.35	15.35
180	15	'hiphop'	62	1.77	16.77
195	15	'disco'	61	7.53	22.53
210	15	'jazz'	78	5.84	20.84
225	15	'metal'	4	2.34	17.34
240	15	'pop'	99	6.16	21.16
255	15	'reggae'	79	13.25	28.25
270	15	'blues'	45	7.67	22.67
285	15	'country'	6	6.31	21.31
300	15	'classical'	28	12.68	27.68
315	15	'rock'	9	1.34	16.34
330	15	'hiphop'	35	2.2	17.2
345	15	'metal'	8	6.54	21.54
360	15	'country'	46	11.2	26.2
375	15	'pop'	26	9.71	24.71
390	15	'reggae'	84	14.48	29.48
405	15	'jazz'	79	0.9	15.9
420	15	'classical'	26	1.09	16.09
435	15	'disco'	54	5.34	20.34
450	15	'blues'	94	2.93	17.93
465	15	'jazz'	67	3.64	18.64
480	15	'reggae'	77	7.17	22.17
495	15	'blues'	64	6.84	21.84
510	15	'disco'	16	4.62	19.62
525	15	'hiphop'	60	13.8	28.8
540	15	'rock'	76	1.14	16.14
555	15	'metal'	9	8.84	23.84
570	15	'country'	72	2.98	17.98
585	15	'classical'	94	3.82	18.82
600	15	'pop'	37	14.42	29.42
